Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
Maruti Vitara,Coimbatore,2018,64456,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,White,5,4,11 Lakh,10.46
ISUZU D-MAX,Jaipur,2017,25000,Diesel,Manual,First,12.4 kmpl,2499 CC,134 bhp,Others,5,4,,8
Maruti SX4,Delhi,2011,75000,Diesel,Manual,First,21.5 kmpl,1248 CC,88.8 bhp,Black/Silver,5,4,,2.5
Hyundai i10,Coimbatore,2014,31446,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Others,5,4,,4.66
Honda Amaze,Hyderabad,2014,97236,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,White,5,4,,4.4
Maruti Wagon,Kochi,2011,15466,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,White,5,4,5.04 Lakh,3.36
Hyundai Xcent,Pune,2016,51000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,White,5,4,,5.25
Jaguar F,Hyderabad,2015,8000,Petrol,Automatic,First,12.5 kmpl,5000 CC,488.1 bhp,Others,2,2,,100
BMW 3,Chennai,2009,137000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,Others,5,4,,9
Mercedes-Benz C-Class,Mumbai,2018,8682,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,White,5,4,52.26 Lakh,39.5
Volkswagen Polo,Kolkata,2012,55339,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,White,5,4,,2.65
Renault Duster,Delhi,2016,26000,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,White,5,4,,10
BMW 5,Mumbai,2013,78000,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,Others,5,4,,19.5
Mahindra Thar,Coimbatore,2019,16392,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,White,6,5,,10.36
BMW 3,Chennai,2010,83000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,Others,5,4,,12.75
Maruti Alto,Hyderabad,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,,Others,5,4,,2.75
Hyundai i20,Kolkata,2016,19008,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,Others,5,4,,5.25
Hyundai i10,Kolkata,2015,18000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,White,5,4,,2.85
Honda Amaze,Delhi,2015,48000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,Others,5,4,,4.5
Audi A3,Mumbai,2016,39000,Diesel,Automatic,First,20.38 kmpl,1968 CC,143 bhp,Others,5,4,42.89 Lakh,18.9
Tata Xenon,Pune,2014,85000,Diesel,Manual,First,13.49 kmpl,2179 CC,138.03 bhp,White,5,4,,3.5
Toyota Innova,Coimbatore,2019,31271,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,White,8,5,24.01 Lakh,21.42
BMW X1,Pune,2011,102000,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,Others,5,4,,13.75
Hyundai Getz,Hyderabad,2006,63181,Petrol,Manual,First,15.3 kmpl,1341 CC,83 bhp,Black/Silver,5,4,,1.85
Audi Q7,Bangalore,2014,45000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,White,7,5,,37.9
Volkswagen Vento,Jaipur,2013,144000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,Black/Silver,5,4,,7
BMW 3,Mumbai,2010,67000,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,White,5,4,47.87 Lakh,9.25
Volkswagen Vento,Jaipur,2013,125000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,Others,5,4,,6.25
Chevrolet Sail,Kolkata,2014,9500,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,Black/Silver,5,4,,3.5
Renault Duster,Bangalore,2014,52000,Petrol,Manual,First,13.24 kmpl,1598 CC,102.57 bhp,White,5,4,,5.99
Maruti Ertiga,Kolkata,2013,53073,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,Black/Silver,7,5,,5.95
Maruti Alto,Ahmedabad,2009,35000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,White,5,4,,1.5
Hyundai Grand,Coimbatore,2016,29091,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,Others,5,4,6.82 Lakh,4.87
Renault Duster,Kochi,2015,82603,Petrol,Manual,First,13.06 kmpl,1598 CC,102.53 bhp,Others,5,4,,4.9
Volkswagen Jetta,Coimbatore,2016,44340,Diesel,Automatic,First,16.96 kmpl,1968 CC,138.03 bhp,Black/Silver,5,4,,13.83
Maruti Alto,Bangalore,2011,64357,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,Others,5,4,4.7 Lakh,2.75
Honda Jazz,Kolkata,2015,45000,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,White,5,4,,4.75
Maruti Ciaz,Coimbatore,2016,41810,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,Black/Silver,5,4,,7.11
Hyundai i10,Ahmedabad,2014,47003,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Black/Silver,5,4,,3.67
Audi A6,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,Black/Silver,5,4,,12.07
Honda Jazz,Kochi,2017,24700,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,Black/Silver,5,4,,7.07
Volkswagen Polo,Hyderabad,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,Others,5,4,,4.2
Honda CR-V,Pune,2015,63050,Petrol,Automatic,First,11.1 kmpl,2354 CC,158.8 bhp,White,5,4,,17.5
Mahindra XUV500,Kolkata,2013,87284,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,White,7,5,,7.8
Mercedes-Benz New,Hyderabad,2012,86000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,White,5,4,,19
BMW 3,Kochi,2017,55389,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,Others,5,4,,28.45
Honda Civic,Mumbai,2008,87000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,White,5,4,,2.35
BMW X1,Hyderabad,2014,45000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,Black/Silver,5,4,,21.5
Hyundai Verna,Coimbatore,2013,66930,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,Others,5,4,,6.15
Hyundai i10,Pune,2009,62500,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,White,5,4,,2.1
Honda Jazz,Hyderabad,2015,67000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,Others,5,4,,6.9
Honda City,Coimbatore,2012,66245,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5,4,,5.68
Honda City,Mumbai,2010,69000,Petrol,Automatic,Second,16.8 kmpl,1497 CC,118 bhp,White,5,4,,2.85
Skoda Superb,Kochi,2016,61648,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,Others,5,4,,14.23
Maruti Ritz,Coimbatore,2011,90207,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,White,5,4,,3.91
Mitsubishi Pajero,Mumbai,2004,129000,Diesel,Manual,First,10.5 kmpl,2835 CC,107.2 bhp,White,6,5,,3.45
Toyota Corolla,Kolkata,2014,27000,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,White,5,4,,7.95
Hyundai Elantra,Pune,2013,48823,Diesel,Automatic,First,19.5 kmpl,1582 CC,126.24 bhp,Black/Silver,5,4,,8.5
Audi Q7,Hyderabad,2011,98000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,Others,7,5,,22
Ford Figo,Bangalore,2010,78400,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,Others,5,4,,2.75
Ford Figo,Hyderabad,2016,72566,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,White,5,4,,5.29
Honda City,Delhi,2011,68000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5,4,,3.6
Hyundai EON,Pune,2015,55000,Petrol,Manual,First,22.0 kmpl,814 CC,55 bhp,Others,5,4,,2.61
Maruti Ertiga,Pune,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,White,7,5,,8.15
Nissan Teana,Mumbai,2015,74000,Petrol,Automatic,Second,11.07 kmpl,2496 CC,179.5 bhp,Others,5,4,,8.25
Honda Amaze,Jaipur,2018,6000,Petrol,Manual,First,19.5 kmpl,1199 CC,86.76 bhp,White,5,4,8.18 Lakh,6.7
Maruti SX4,Pune,2008,85000,Petrol,Manual,First,16.51 kmpl,1586 CC,103.2 bhp,Black/Silver,5,4,,2.5
Volkswagen Jetta,Kolkata,2012,67000,Diesel,Manual,First,19.33 kmpl,1968 CC,138.1 bhp,White,5,4,,5
Maruti Swift,Jaipur,2016,41460,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,White,5,4,,5.9
Mercedes-Benz CLA,Coimbatore,2017,13689,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,Others,5,4,,28.25
Land Rover Range,Delhi,2015,37000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,White,5,4,,36
Volkswagen Polo,Kolkata,2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,White,5,4,,2.99
Audi Q3,Coimbatore,2016,58661,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,Others,5,4,48.64 Lakh,28.03
Ford Fiesta,Bangalore,2011,47000,Diesel,Manual,Second,23.5 kmpl,1498 CC,90 bhp,Black/Silver,5,4,,6
Tata Indica,Hyderabad,2011,96000,Diesel,Manual,Second,17.88 kmpl,1396 CC,52.8 bhp,White,5,4,,0.91
BMW 5,Pune,2008,112500,Diesel,Automatic,First,11.5 kmpl,2993 CC,235 bhp,Black/Silver,5,4,,7.99
Ford Ecosport,Coimbatore,2019,23154,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,Black/Silver,5,4,12.12 Lakh,11.65
Maruti Ciaz,Kochi,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,Others,5,4,,9.9
Audi Q7,Coimbatore,2012,91743,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,Black/Silver,7,5,,28.55
Volvo S80,Hyderabad,2008,79000,Diesel,Automatic,First,13.1 kmpl,2400 CC,215 bhp,Black/Silver,5,4,,10.99
Hyundai EON,Hyderabad,2013,84600,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,White,5,4,,2.5
Land Rover Range,Coimbatore,2017,49275,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,Others,5,4,,45.64
Ford Figo,Chennai,2010,107389,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,White,5,4,,1.9
Tata Indica,Chennai,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,Others,5,4,,2.5
Maruti Wagon,Kolkata,2015,14000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5,4,,2.8
Maruti Swift,Coimbatore,2019,41075,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,Black/Silver,5,4,,8.4
Land Rover Range,Coimbatore,2013,75995,Diesel,Automatic,Second,11.49 kmpl,4367 CC,335.3 bhp,White,5,4,,65.81
Hyundai i10,Kochi,2014,58472,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,Others,5,4,,3.41
Toyota Innova,Coimbatore,2017,65367,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,Black/Silver,7,4,28.05 Lakh,20.14
Skoda Fabia,Jaipur,2009,87459,Petrol,Manual,First,14.7 kmpl,1390 CC,85 bhp,Others,5,4,,2.75
Volkswagen Vento,Kochi,2016,50867,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,Black/Silver,5,4,,7.95
Volkswagen Polo,Hyderabad,2013,74000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,Others,5,4,,4.85
Maruti Wagon,Delhi,2011,68000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,White,5,4,,2.5
Honda City,Pune,2014,58407,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,Others,5,4,,6.16
Audi A4,Ahmedabad,2011,59000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,Others,5,4,,12.5
Maruti Swift,Coimbatore,2017,46849,Petrol,Automatic,First,18.5 kmpl,1197 CC,83.14 bhp,White,5,4,,6.93
Mercedes-Benz E-Class,Coimbatore,2018,41467,Diesel,Automatic,First,15.0 kmpl,2143 CC,204 bhp,Others,5,4,,37.98
Maruti Ciaz,Hyderabad,2017,15234,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,White,5,4,,9.95
Mahindra Scorpio,Bangalore,2015,35000,Diesel,Manual,Second,15.4 kmpl,2179 CC,120 bhp,Others,7,5,,8.5
Honda Brio,Mumbai,2017,20000,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,White,5,4,8.05 Lakh,5.99
Honda Amaze,Pune,2015,79000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,Black/Silver,5,4,,4
Honda Jazz,Coimbatore,2017,49575,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,White,5,4,,7.17
Land Rover Discovery,Mumbai,2017,35000,Diesel,Automatic,First,18.0 kmpl,2993 CC,255 bhp,White,7,5,1.27 Cr,41.6
Ford Ikon,Jaipur,2010,82000,Diesel,Manual,Second,13.8 kmpl,1399 CC,68 bhp,White,5,4,,1
Ford Figo,Mumbai,2010,69009,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,Others,5,4,,2.4
Audi A6,Kolkata,2010,35010,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,Black/Silver,5,4,,11.5
Toyota Innova,Delhi,2012,62000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,White,7,4,,7.75
Toyota Corolla,Chennai,2009,32000,Petrol,Manual,Second,14.28 kmpl,1798 CC,138.03 bhp,Others,5,4,22.66 Lakh,4.95
Maruti Swift,Kochi,2015,35082,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Black/Silver,5,4,,6.61
Maruti Wagon,Delhi,2009,60000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,Others,5,4,,1.35
Hyundai Santa,Coimbatore,2013,65278,Diesel,Manual,First,14.66 kmpl,2199 CC,194.3 bhp,Others,7,5,,8.36
Maruti SX4,Jaipur,2016,70000,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,White,5,4,,8.85
Maruti Alto,Bangalore,2014,73000,Petrol,Manual,Second,24.7 kmpl,796 CC,47.3 bhp,Others,5,4,,2.75
Mahindra Bolero,Hyderabad,2017,40279,Diesel,Manual,First,16.5 kmpl,1493 CC,70 bhp,Others,7,5,,8
Hyundai i10,Ahmedabad,2014,51000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,White,5,4,,3.75
Maruti Baleno,Kochi,2018,42243,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,White,5,4,,7.48
Volkswagen Vento,Kolkata,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,White,5,4,,3.99
Maruti Ritz,Kolkata,2011,150000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,Others,5,4,,2.5
Maruti Swift,Kolkata,2016,100000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Others,5,4,,3.5
Maruti Dzire,Pune,2012,150000,Diesel,Manual,Third,28.4 kmpl,1248 CC,73.75 bhp,White,5,4,7.91 Lakh,2.25
Renault KWID,Kolkata,2017,25000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,Others,5,4,,2.99
Maruti Wagon,Hyderabad,2015,45295,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5,4,,4.3
Volkswagen Vento,Jaipur,2016,33000,Petrol,Manual,First,16.09 kmpl,1598 CC,103.5 bhp,White,5,4,11.63 Lakh,7.7
Maruti Swift,Hyderabad,2016,52000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,Others,5,4,7.27 Lakh,5.95
Maruti Celerio,Delhi,2014,21701,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,Black/Silver,5,4,,3.38
Hyundai i20,Coimbatore,2012,38214,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,White,5,4,,4.05
Maruti Ertiga,Hyderabad,2015,59245,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,Others,7,5,,8.5
Chevrolet Optra,Jaipur,2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,White,5,4,,1.25
Honda City,Coimbatore,2018,20300,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,White,5,4,17.38 Lakh,14.21
Mercedes-Benz GLC,Bangalore,2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,White,5,4,,42.5
Chevrolet Beat,Chennai,2012,81000,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,White,5,4,,2.5
Honda City,Kolkata,2014,37298,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,Black/Silver,5,4,,4.9
Toyota Corolla,Delhi,2015,12000,Petrol,Manual,First,14.53 kmpl,1798 CC,138 bhp,Others,5,4,,11
Hyundai i20,Jaipur,2016,30292,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,Black/Silver,5,4,,6.3
Audi A4,Delhi,2012,60000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,Others,5,4,,10.35
Hyundai i20,Ahmedabad,2011,72000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,White,5,4,,3.25
Ford Figo,Hyderabad,2012,73500,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,White,5,4,,2.6
BMW 3,Kochi,2012,55598,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,Black/Silver,5,4,47.87 Lakh,11.5
Maruti Swift,Delhi,2015,24296,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,White,5,4,,4.65
Toyota Fortuner,Hyderabad,2010,100000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,White,7,5,,13
Maruti Wagon,Delhi,2013,62000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,White,5,4,,2.8
Chevrolet Beat,Coimbatore,2013,75421,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,Others,5,4,,3.63
Honda City,Coimbatore,2012,60908,Petrol,Automatic,Second,15.6 kmpl,1497 CC,116.3 bhp,Others,5,4,,6.42
Maruti Swift,Hyderabad,2016,69000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,Black/Silver,5,4,,4.79
Maruti Zen,Ahmedabad,2007,75180,Petrol,Manual,First,18.2 kmpl,1061 CC,64 bhp,Black/Silver,5,4,,1.65
BMW X3,Kochi,2017,36935,Diesel,Automatic,First,18.56 kmpl,1995 CC,190 bhp,White,5,4,,32.64
BMW 3,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88 kmpl,1995 CC,184 bhp,Others,5,4,,18
Maruti Swift,Kochi,2016,45725,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,White,5,4,,5.34
Skoda Fabia,Mumbai,2009,86000,Diesel,Manual,First,19.4 kmpl,1422 CC,70 bhp,White,5,4,,2.75
Hyundai Grand,Jaipur,2015,14000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Black/Silver,5,4,,4.6
BMW 3,Mumbai,2013,25000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,Black/Silver,5,4,47.87 Lakh,17.99
Nissan Micra,Pune,2011,72000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,Black/Silver,5,4,,2.3
Toyota Etios,Pune,2011,37000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,Black/Silver,5,4,,2.8
Maruti Wagon,Coimbatore,2008,53934,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5,4,,2.69
Mahindra Scorpio,Mumbai,2010,76477,Diesel,Manual,First,10.5 kmpl,2179 CC,120 bhp,White,8,5,,4.25
Maruti Ertiga,Kolkata,2014,47052,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,White,7,5,,5.99
Hyundai i10,Bangalore,2010,69000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Others,5,4,,2.9
Audi A4,Pune,2013,87000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,White,5,4,,15.5
Volkswagen Jetta,Chennai,2009,100970,Diesel,Automatic,First,15.5 kmpl,1896 CC,105 bhp,Others,5,4,,4
Hyundai i20,Coimbatore,2016,44238,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,Others,5,4,,6.72
Skoda Rapid,Kolkata,2015,45000,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,White,5,4,,4.25
Maruti Swift,Kolkata,2014,47000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,Black/Silver,5,4,,3.9
Hyundai Grand,Mumbai,2015,20000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,White,5,4,,3.85
Toyota Corolla,Kochi,2013,55101,Petrol,Automatic,First,14.53 kmpl,1794 CC,138.1 bhp,Black/Silver,5,4,,8.4
Honda Brio,Chennai,2012,31500,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,White,5,4,,4.15
Honda City,Kolkata,2014,40000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,White,5,4,,6.49
Mercedes-Benz CLA,Kochi,2019,29836,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,White,5,4,43.07 Lakh,25.75
Honda City,Mumbai,2017,17000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,White,5,4,15.29 Lakh,11.6
Honda Civic,Delhi,2011,62000,Petrol,Automatic,First,12.9 kmpl,1799 CC,130 bhp,Black/Silver,5,4,,3.75
Hyundai Elantra,Bangalore,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,White,5,4,23.64 Lakh,8.85
Hyundai Creta,Kochi,2019,8587,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,White,5,4,,13.56
Ford Endeavour,Kochi,2011,68022,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,Others,7,5,,5.86
Maruti Wagon,Kolkata,2016,4800,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,Others,5,4,,3.6
BMW 3,Hyderabad,2010,105000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,Others,5,4,,11
BMW 7,Bangalore,2017,17465,Petrol,Automatic,First,12.05 kmpl,2979 CC,320 bhp,White,5,4,,93
Honda City,Mumbai,2006,44000,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,White,5,4,,1.55
Mercedes-Benz E-Class,Mumbai,2011,47000,Diesel,Automatic,Second,14.21 kmpl,2143 CC,203 bhp,Others,5,4,,13.9
BMW X5,Chennai,2009,110000,Diesel,Automatic,First,11.0 kmpl,2993 CC,235 bhp,White,5,4,,18
Skoda Octavia,Hyderabad,2015,79000,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,Black/Silver,5,4,,17
